Date,us500_UH,gold_H,gold_UH,usbond10y_UH,nasdaq100_UH,usdkrw
2007-05-22,2711.089561843269,5200.571351591161,20746.16508550028,5574.717200690368,7641.359792410651,930.3
2007-05-23,2714.6525545147947,5166.743750299701,20635.920608884822,5570.626460625874,7602.332156295909,931.4
2007-05-25,2692.3042944723525,5133.579316936553,20435.87036626595,5554.454110317967,7516.712286327212,928.3
2007-05-28,2693.609408048258,5133.212641430137,20445.290077445243,5556.669080180397,7520.356065847677,928.75
2007-05-29,2700.027967950389,5153.466533329956,20500.86836256292,5539.468090846255,7552.947955716882,927.6
2007-05-30,2731.997368891331,5149.425441741776,20560.20420899968,5563.308861695396,7653.613621600709,931.0
2007-05-31,2719.623439826957,5145.384539736054,20472.677991559016,5543.264078280149,7667.096367885403,927.75
2007-06-01,2734.8717799313604,5191.496829216416,20669.835705967147,5524.275367720763,7672.3336723321745,928.35
2007-06-04,2734.0478166588628,5255.771766803642,20917.720623918423,5530.006250609629,7690.782910546631,927.95
2007-06-05,2720.436940718697,5259.95624469444,20913.274345083515,5508.199909993641,7677.42647657274,927.0
2007-06-07,2642.058542624097,5256.17989207389,20894.41449960628,5458.2194328642245,7476.443025228825,926.8
2007-06-08,2688.7102324100056,5145.579770679682,20548.88860510617,5490.9367021530215,7606.8576208777795,931.05
2007-06-11,2697.6765690278303,5113.874074358027,20456.15015730189,5485.513338307784,7601.926084275454,932.55
2007-06-12,2659.5307921758586,5114.144033113263,20390.64567494381,5432.576241149961,7532.086229003095,929.5
2007-06-13,2705.002865567537,5045.865017337834,20160.940984183875,5459.619534964577,7640.506099659459,931.45
2007-06-14,2717.7464502830053,5097.840829201002,20335.03664569772,5452.346411864766,7670.31755699225,929.9
2007-06-15,2728.801976131938,5096.544383080462,20297.393551833167,5466.257497262978,7729.0513136511645,928.4
2007-06-18,2725.4460458729445,5154.146280516434,20526.66597838977,5463.164676821273,7736.433525281252,928.35
2007-06-19,2730.306802022291,5131.307720478097,20421.72724811711,5484.200041503153,7720.599357839023,927.7
2007-06-20,2692.652806171782,5166.433424277688,20564.06214708969,5468.201111746642,7643.372239606673,927.8
2007-06-21,2705.136742906057,5126.363763770347,20386.20444979472,5457.120330268735,7712.649075757155,926.95
2007-06-22,2683.009274655181,5106.66048608548,20333.3683579837,5478.527687001953,7645.127469087967,928.1
2007-06-25,2665.5759422725096,5100.421787009364,20274.48211845809,5485.895731006707,7596.050481563678,926.5
2007-06-26,2637.465005443176,5086.986387492638,20215.94098001889,5485.691701982785,7577.089052696571,926.25
2007-06-27,2679.4703613280376,5034.393851947941,20040.73717157444,5493.496664801531,7686.875755354242,927.8
2007-06-28,2676.226781880397,5056.593379497894,20107.73033395782,5484.732899602497,7673.069217925567,926.8
2007-06-29,2668.7378784616,5078.400290383968,20131.574637663587,5495.153643407823,7658.681914555719,923.9
2007-07-02,2686.161831501886,5093.698800443993,20142.91066649789,5489.907163563526,7718.694293278307,921.6
2007-07-03,2685.218256454237,5146.432966794279,20271.16252625596,5454.5055514538,7731.716419395112,917.95
2007-07-04,2690.776200446027,5120.862114468216,20212.514243434336,5464.910545557636,7747.719754213839,919.85
2007-07-05,2694.5247640799425,5135.6173115306765,20320.65967418523,5448.821439218088,7829.351837368429,922.1
2007-07-06,2701.3466578401776,5071.681525111014,20013.591639254264,5423.014618783274,7836.69993524984,919.6
2007-07-09,2707.4331430809493,5143.7404520575765,20328.70832926635,5448.442793599529,7851.717002803599,920.95
2007-07-10,2665.8400182015444,5176.108884445655,20433.631405817112,5477.230359767442,7774.517627607152,919.9
2007-07-11,2682.697709461987,5198.298145188273,20505.935847342585,5455.642760861953,7816.625972141457,919.2
2007-07-12,2722.242297140729,5190.345613917966,20453.72954914269,5435.8338470783865,7953.968183508357,918.25
2007-07-13,2726.635914496448,5225.450624400207,20564.36109824349,5440.164186176153,7986.884197218654,917.0
2007-07-16,2729.852090796645,5223.120382395665,20583.069915285767,5466.632862398595,7981.043394708209,918.2
2007-07-18,2717.424639782739,5226.785482460015,20552.178450054736,5462.621852760095,8002.333474208141,916.15
2007-07-19,2727.2347916969857,5267.7551928547855,20707.948771515967,5460.514557305732,8059.072019463586,915.9
2007-07-20,2697.116688247353,5291.111591179802,20780.78960177485,5480.771979708029,7984.489393540492,915.05
2007-07-23,2705.670560553324,5349.4340294253925,21013.14342305535,5479.164549452624,7987.126817723467,915.15
2007-07-24,2655.556512937849,5343.436763598728,20964.689222742985,5486.7143484830685,7837.355014078976,914.05
2007-07-25,2660.706817354459,5300.264643710962,20793.363357489456,5492.937557609151,7877.980294332972,913.95
2007-07-26,2610.067559457981,5285.660056987824,20835.09536682724,5558.015802085705,7818.890949627767,918.3
2007-07-27,2568.366629907071,5192.405166366218,20544.729618088764,5587.426598901347,7728.128125370944,921.75
2007-07-30,2612.930834721848,5176.383474005933,20516.75609923178,5582.618186417055,7811.325599121446,923.3
2007-07-31,2572.448670963004,5217.342635304217,20590.954644205343,5581.676987382329,7612.9267091156835,919.35
2007-08-01,2601.430144287556,5166.3556800079095,20519.80136730428,5600.137384798625,7712.998173672341,925.2
2007-08-02,2615.6980639818485,5206.139394701839,20626.73536714932,5590.888330235312,7778.947157965214,922.9
2007-08-03,2548.218210375182,5213.840101803051,20656.453818332808,5624.070494788835,7588.512631803544,922.85
2007-08-06,2592.609647905152,5274.495706197855,20911.3405128581,5606.278066615732,7735.178106107282,923.45
2007-08-07,2618.7102467646355,5236.032914689116,20746.818195444896,5602.445583993728,7759.327878743526,922.9
2007-08-08,2658.527198550364,5244.905539509059,20808.20011060077,5572.706969580667,7870.7801865505135,924.05
2007-08-09,2576.8134898473786,5248.301256707854,20798.34201067037,5595.859325630099,7661.744339754499,923.0
2007-08-10,2589.491213199053,5198.497959254303,20799.95717997564,5638.273244106599,7689.211002822965,931.9
2007-08-13,2592.1033926645387,5239.978625320365,20912.924906958626,5632.757548988036,7706.338409681639,929.5
2007-08-14,2560.443613962166,5220.297326545557,20899.712066101263,5668.184829173435,7598.1456627718435,932.4
2007-08-16,2582.215578884675,5195.017570868315,21110.35211999794,5777.321747055059,7487.809626175795,946.35
2007-08-17,2641.0365099099045,5107.677971044791,20845.69982559017,5804.399389303555,7694.152734375973,950.45
2007-08-20,2618.929084863911,5150.331355592741,20854.90081871633,5773.113538134049,7650.695316876168,942.95
2007-08-21,2625.572052996076,5126.744804484437,20770.732314356323,5799.100272911841,7727.2941927823695,943.45
2007-08-22,2658.701426915145,5139.52758875422,20838.30057211285,5785.562100303961,7837.34919289979,944.15
2007-08-23,2649.311982287649,5179.291988741041,20944.25113384147,5773.1482205649145,7796.861222220561,941.65
2007-08-24,2682.1817074585488,5159.61679612793,20866.128069545863,5775.2647714975465,7916.340391068074,941.7
2007-08-27,2648.4801039662743,5159.248260845852,20796.942750483864,5772.058264480826,7834.4033997763645,938.6
2007-08-28,2593.163070571169,5215.8204574350175,21048.836468155085,5805.60835904291,7648.849402188658,939.65
2007-08-29,2650.5170695444062,5198.10167448818,21029.012950093405,5798.112193649758,7892.079103372996,941.95
2007-08-30,2638.973350550479,5210.098342799613,21042.07622633343,5815.859201947512,7914.543544940166,940.35
2007-08-31,2659.306506817353,5223.267354797287,21050.72815175854,5805.538603870375,7998.173579396785,938.35
2007-09-03,2656.614183929863,5260.034001442439,21178.448349528648,5799.770519811214,7990.076105212924,937.4
2007-09-04,2688.300732626253,5265.77279152476,21240.34107800683,5799.394086558918,8132.479791938525,939.1
2007-09-05,2662.0587097512507,5312.558532164953,21405.43581215577,5826.75237184138,8018.332199740981,938.05
2007-09-06,2671.313353416406,5343.705382085453,21556.521655188084,5821.400943182,8045.003031547663,939.15
2007-09-07,2631.0781280759493,5433.486873600367,21893.369237665986,5872.905510603991,7873.474778707162,938.05
2007-09-10,2630.09400934538,5503.457126639824,22210.634313954903,5893.286034633802,7893.094536151515,939.5
2007-09-11,2651.6983672184515,5505.280444619145,22142.66756367626,5862.962747175888,7981.703323255628,936.3
2007-09-12,2647.315959724914,5563.778551227051,22283.89415073544,5826.427742484055,7947.950646841871,932.35
2007-09-13,2663.503910697308,5535.113882610564,22149.229432320262,5789.4224626797495,7979.311291364509,931.5
2007-09-14,2654.318616662009,5524.429342113718,22032.067932214355,5778.126625703271,7961.041648140238,928.35
2007-09-17,2640.34218182079,5551.391780852947,22143.034821329504,5781.589994102314,7891.306129851855,928.45
2007-09-18,2724.513697531825,5609.489620722093,22428.14240862767,5788.482981828805,8118.576654604073,930.65
2007-09-19,2728.670139988957,5656.642409787849,22518.60156617498,5745.8716623295895,8107.03483806272,926.6
2007-09-20,2699.0737575251565,5687.7706910577,22556.12766013669,5665.070228552865,8041.358556444867,923.05
2007-09-21,2700.640842583292,5747.033491583299,22743.356754971028,5680.4378774571005,8090.970331551769,921.1
2007-09-27,2717.8858832768187,5702.451663191749,22547.02813177967,5701.252474485767,8268.075467216866,920.2
2007-09-28,2693.9648518922754,5764.82992041393,22668.931393459545,5673.941312994693,8201.991807929446,915.15
2007-10-01,2720.017049261629,5823.020888688548,22862.559270559726,5671.5880185372,8290.266056449276,913.7
2007-10-02,2716.612056718809,5748.653867685561,22573.409927932564,5683.413872249776,8286.943228715645,913.8
2007-10-04,2723.253610255584,5678.061879041393,22361.5875961951,5704.239385521096,8270.400768041312,916.45
2007-10-05,2755.1581933184307,5749.024537933689,22637.70487542412,5656.510917352595,8442.277284804499,916.3
2007-10-08,2735.400997556272,5753.691959778023,22615.12629830963,5665.391099845941,8479.886997754546,914.6
2007-10-09,2773.239413788352,5693.400957485305,22476.382086750345,5671.856170333733,8548.27351773677,918.6
2007-10-10,2762.603222319333,5784.666046865451,22787.312975282686,5665.328842060218,8552.329683459688,916.6
2007-10-11,2751.740129734004,5839.211182795831,23022.618803398906,5670.466324571285,8418.007438045966,917.4
2007-10-12,2769.6762247709166,5846.883807714394,23075.85174653576,5657.805129691842,8572.166733265303,918.3
2007-10-15,2742.999383470145,5903.877739014438,23273.98251066608,5656.268399437113,8486.932066382085,917.2
2007-10-16,2721.976439428867,5949.821550546039,23461.86269712853,5672.162233203901,8458.652921814562,917.45
2007-10-17,2733.420803732094,5934.0584334500045,23426.85764156636,5710.412048025848,8578.560486742266,918.5
2007-10-18,2721.125314315176,5922.982389112685,23363.13592688524,5725.93190335134,8604.049769852683,917.7
2007-10-19,2644.462836896037,6000.163875977913,23618.94591059845,5760.25552938246,8364.703557920913,915.8
2007-10-22,2663.465137535285,5900.9413444543525,23261.18710433389,5757.159783268372,8479.766445095678,917.05
2007-10-23,2688.4181403739026,5915.639104922464,23348.737462976515,5762.505717178562,8678.236190011306,918.2
2007-10-24,2682.579451885277,5914.326842688202,23336.30150944364,5787.844816596748,8610.134660392325,917.9
2007-10-25,2685.4409751424714,5973.926700561094,23541.020060759703,5776.288713203517,8492.521196792322,916.7
2007-10-26,2695.58136359648,6056.560442022777,23679.56326076341,5720.837399363792,8554.729124414458,909.5
2007-10-29,2696.651398876086,6188.0914786130725,24124.46193791537,5709.419680515145,8564.122583537623,906.85
2007-10-30,2678.372730564712,6121.573445854723,23869.469875267085,5715.8236803865975,8581.82801549717,907.0
2007-10-31,2687.697007048699,6113.619564710789,23675.877737145413,5644.004098846851,8644.278169321278,900.8
2007-11-01,2632.9432849439104,6183.745491589751,24022.26512453888,5703.1920720821045,8508.83840232263,903.6
2007-11-02,2645.825236779556,6173.838560230389,24074.407105810344,5737.47686720927,8606.124164946994,907.0
2007-11-05,2628.1630495106133,6265.132199667906,24454.45367536828,5735.905797673451,8562.127006005143,907.85
2007-11-06,2663.396470378337,6382.478655529644,24911.50373468885,5726.097168537054,8653.05059757273,907.8
2007-11-07,2585.6853539373064,6571.252119510456,25600.67073166008,5735.448227308246,8425.038694328454,906.1
2007-11-08,2576.5496098370754,6496.932435542638,25350.646842272195,5755.512048422561,8191.965638063402,907.5
2007-11-09,2538.942444214279,6526.051999163302,25442.22367866857,5782.6526051863375,7905.489591105063,906.7
2007-11-12,2526.505974103801,6377.273562815982,24989.53628953376,5819.0783932183285,7741.947670843278,911.3
2007-11-13,2624.797553029169,6270.963925595567,24774.24757642905,5835.307180882839,8135.694798184305,918.75
2007-11-14,2602.715774221123,6308.671444213644,24782.54385876929,5808.272193985885,7979.897495823032,913.55
2007-11-15,2570.648723208673,6290.959207748236,24766.10954751873,5850.047682604021,7941.918868133619,915.5
2007-11-16,2580.40929459618,6167.87814816396,24332.35428407728,5861.237347311772,8055.088472954975,917.4
2007-11-19,2549.471664074168,6153.779547493848,24325.527291929106,5910.957429208077,7962.630479494601,919.2
2007-11-20,2574.0075619385475,6162.608103732962,24445.61985012171,5915.3568133040135,8025.140214929071,922.4
2007-11-21,2539.37181794388,6213.969275284726,24826.12199864782,5998.179836705258,7988.754055424936,929.0
2007-11-22,2551.808999614111,6260.645581910615,25135.505897161565,6025.3968926272055,8027.880891756674,933.55
2007-11-23,2587.872390187762,6324.878352576866,25314.90489185485,5991.227434454679,8092.769576169994,930.65
2007-11-26,2527.2406291807847,6525.361641416871,26082.07229354641,6059.314715411443,7923.97008613183,929.35
2007-11-27,2556.1489933231364,6423.765676155678,25675.02265096488,6006.45366441603,8100.387345776758,929.3
2007-11-28,2644.292519663341,6214.884236384337,24900.699955996683,5999.992166037388,8366.063580330734,931.55
2007-11-29,2637.098569713555,6298.61574260002,25159.36599231146,6014.156233083638,8368.450558406796,928.7
2007-11-30,2641.9619146212053,6200.933788215699,24568.2123351536,5976.19439609546,8247.830965317773,921.15
2007-12-03,2636.083727488728,6114.668888633321,24334.110081898205,6022.383563875816,8198.242775526971,925.2
2007-12-04,2605.1800243439075,6165.235068776267,24466.78001282232,6011.63467858807,8142.028354987655,922.6
2007-12-05,2650.8006784740965,6254.806978244514,24841.468855379462,5994.726293230935,8307.485045054136,923.3
