일자,kospi,ams
2013-01-01,642955.0,1.0
2013-02-01,624072.0,0.8181818181818182
2013-03-01,639632.0,0.9090909090909091
2013-04-01,614857.0,0.6363636363636364
2013-05-01,585164.0,0.2727272727272727
2013-06-01,592945.0,0.36363636363636365
2013-07-01,542753.0,0.09090909090909091
2013-08-01,550853.0,0.09090909090909091
2013-09-01,572522.0,0.18181818181818182
2013-10-01,648877.0,1.0
2013-11-01,695973.0,1.0
2013-12-01,694091.0,0.9090909090909091
2014-01-01,677068.0,0.8181818181818182
2014-02-01,660565.0,0.7272727272727273
2014-03-01,653387.0,0.6363636363636364
2014-04-01,641945.0,0.45454545454545453
2014-05-01,669957.0,0.7272727272727273
2014-06-01,689472.0,0.8181818181818182
2014-07-01,700689.0,1.0
2014-08-01,741381.0,1.0
2014-09-01,759622.0,1.0
2014-10-01,753397.0,0.9090909090909091
2014-11-01,733041.0,0.7272727272727273
2014-12-01,748553.0,0.8181818181818182
2015-01-01,725396.0,0.5454545454545454
2015-02-01,715007.0,0.45454545454545453
2015-03-01,728263.0,0.5454545454545454
2015-04-01,757366.0,0.9090909090909091
2015-05-01,803854.0,1.0
2015-06-01,821106.0,1.0
2015-07-01,810609.0,0.9090909090909091
2015-08-01,792701.0,0.7272727272727273
2015-09-01,751616.0,0.45454545454545453
2015-10-01,734171.0,0.36363636363636365
2015-11-01,741372.0,0.36363636363636365
2015-12-01,722066.0,0.09090909090909091
2016-01-01,689622.0,0.0
2016-02-01,659968.0,0.0
2016-03-01,662971.0,0.09090909090909091
2016-04-01,697283.0,0.2727272727272727
2016-05-01,716719.0,0.36363636363636365
2016-06-01,718568.0,0.45454545454545453
2016-07-01,726631.0,0.6363636363636364
2016-08-01,766721.0,1.0
2016-09-01,780365.0,1.0
2016-10-01,791406.0,1.0
2016-11-01,795700.0,1.0
2016-12-01,792402.0,0.9090909090909091
2017-01-01,802950.0,1.0
2017-02-01,819326.0,1.0
2017-03-01,822402.0,1.0
2017-04-01,857468.0,1.0
2017-05-01,865510.0,1.0
2017-06-01,878851.0,1.0
2017-07-01,895433.0,1.0
2017-08-01,890188.0,0.9090909090909091
2017-09-01,871438.0,0.7272727272727273
2017-10-01,855540.0,0.45454545454545453
2017-11-01,885298.0,0.8181818181818182
2017-12-01,886130.0,0.8181818181818182
2018-01-01,868765.0,0.45454545454545453
2018-02-01,888519.0,0.8181818181818182
2018-03-01,872908.0,0.45454545454545453
2018-04-01,865503.0,0.09090909090909091
2018-05-01,855130.0,0.0
2018-06-01,847020.0,0.0
2018-07-01,831151.0,0.0
2018-08-01,834886.0,0.09090909090909091
2018-09-01,851412.0,0.2727272727272727
2018-10-01,848437.0,0.2727272727272727
2018-11-01,808457.0,0.0
2018-12-01,812060.0,0.09090909090909091
2019-01-01,811555.0,0.09090909090909091
2019-02-01,852050.0,0.7272727272727273
2019-03-01,853462.0,0.8181818181818182
2019-04-01,856473.0,1.0
2019-05-01,880391.0,1.0
2019-06-01,855586.0,0.8181818181818182
2019-07-01,863171.0,0.9090909090909091
