일자,개인,1m,2m,3m,개인ams,현금
2001-01-01,,,,,0.0,0.5
2001-02-01,724996.0,,,,0.0,0.5
2001-03-01,719720.0,-0.007277281529829094,,,0.165,0.33499999999999996
2001-04-01,721093.0,0.001907686322458746,-0.007277281529829094,,0.0,0.5
2001-05-01,713592.0,-0.010402264340383272,0.001907686322458746,-0.007277281529829094,0.165,0.33499999999999996
2001-06-01,703925.0,-0.013546956804448507,-0.010402264340383272,0.001907686322458746,0.33,0.16999999999999998
2001-07-01,708690.0,0.006769187058280446,-0.013546956804448507,-0.010402264340383272,0.0,0.5
2001-08-01,710779.0,0.0029476922208582224,0.006769187058280446,-0.013546956804448507,0.0,0.5
2001-09-01,705182.0,-0.00787445886836835,0.0029476922208582224,0.006769187058280446,0.165,0.33499999999999996
2001-10-01,708284.0,0.004398864406635505,-0.00787445886836835,0.0029476922208582224,0.0,0.5
2001-11-01,703761.0,-0.0063858565208306795,0.004398864406635505,-0.00787445886836835,0.165,0.33499999999999996
2001-12-01,694972.0,-0.012488614742789061,-0.0063858565208306795,0.004398864406635505,0.33,0.16999999999999998
2002-01-01,697649.0,0.003851953747776804,-0.012488614742789061,-0.0063858565208306795,0.0,0.5
2002-02-01,699792.0,0.0030717452472517337,0.003851953747776804,-0.012488614742789061,0.0,0.5
2002-03-01,693627.0,-0.008809760614582607,0.0030717452472517337,0.003851953747776804,0.165,0.33499999999999996
2002-04-01,697962.0,0.006249756713622823,-0.008809760614582607,0.0030717452472517337,0.0,0.5
2002-05-01,706394.0,0.01208088692507614,0.006249756713622823,-0.008809760614582607,0.0,0.5
2002-06-01,707798.0,0.0019875593507305833,0.01208088692507614,0.006249756713622823,0.0,0.5
2002-07-01,715587.0,0.01100455214623386,0.0019875593507305833,0.01208088692507614,0.0,0.5
2002-08-01,719053.0,0.00484357597329188,0.01100455214623386,0.0019875593507305833,0.0,0.5
2002-09-01,714633.0,-0.006146973867016792,0.00484357597329188,0.01100455214623386,0.165,0.33499999999999996
2002-10-01,722098.0,0.010445921193115826,-0.006146973867016792,0.00484357597329188,0.0,0.5
2002-11-01,717691.0,-0.006103049724552667,0.010445921193115826,-0.006146973867016792,0.165,0.33499999999999996
2002-12-01,699872.0,-0.024828233877810968,-0.006103049724552667,0.010445921193115826,0.33,0.16999999999999998
2003-01-01,706288.0,0.009167390608568526,-0.024828233877810968,-0.006103049724552667,0.0,0.5
2003-02-01,716684.0,0.014719208028453057,0.009167390608568526,-0.024828233877810968,0.0,0.5
2003-03-01,716947.0,0.00036696786868417597,0.014719208028453057,0.009167390608568526,0.0,0.5
2003-04-01,720092.0,0.004386656196343708,0.00036696786868417597,0.014719208028453057,0.0,0.5
2003-05-01,719514.0,-0.0008026752137226811,0.004386656196343708,0.00036696786868417597,0.165,0.33499999999999996
2003-06-01,706017.0,-0.018758495317672708,-0.0008026752137226811,0.004386656196343708,0.33,0.16999999999999998
2003-07-01,692984.0,-0.018459895441611196,-0.018758495317672708,-0.0008026752137226811,0.5,0.0
2003-08-01,679162.0,-0.019945626450249887,-0.018459895441611196,-0.018758495317672708,0.5,0.0
2003-09-01,667723.0,-0.01684281511627561,-0.019945626450249887,-0.018459895441611196,0.5,0.0
2003-10-01,671224.0,0.0052431921620192945,-0.01684281511627561,-0.019945626450249887,0.0,0.5
2003-11-01,650843.0,-0.030363932159755858,0.0052431921620192945,-0.01684281511627561,0.165,0.33499999999999996
2003-12-01,651693.0,0.0013059985280627906,-0.030363932159755858,0.0052431921620192945,0.0,0.5
2004-01-01,647536.0,-0.006378770371938902,0.0013059985280627906,-0.030363932159755858,0.165,0.33499999999999996
2004-02-01,637223.0,-0.015926527637073473,-0.006378770371938902,0.0013059985280627906,0.33,0.16999999999999998
2004-03-01,627728.0,-0.014900592100410726,-0.015926527637073473,-0.006378770371938902,0.5,0.0
2004-04-01,622451.0,-0.008406507277037178,-0.014900592100410726,-0.015926527637073473,0.5,0.0
2004-05-01,618087.0,-0.007010993636446861,-0.008406507277037178,-0.014900592100410726,0.5,0.0
2004-06-01,624441.0,0.010280106198641947,-0.007010993636446861,-0.008406507277037178,0.0,0.5
2004-07-01,623569.0,-0.001396448983971288,0.010280106198641947,-0.007010993636446861,0.165,0.33499999999999996
2004-08-01,621396.0,-0.003484778749424655,-0.001396448983971288,0.010280106198641947,0.33,0.16999999999999998
2004-09-01,604423.0,-0.027314305209560463,-0.003484778749424655,-0.001396448983971288,0.5,0.0
2004-10-01,594682.0,-0.01611619676948095,-0.027314305209560463,-0.003484778749424655,0.5,0.0
2004-11-01,596180.0,0.0025189933443419132,-0.01611619676948095,-0.027314305209560463,0.0,0.5
2004-12-01,587266.0,-0.014951860176456777,0.0025189933443419132,-0.01611619676948095,0.165,0.33499999999999996
2005-01-01,581426.0,-0.009944386359843738,-0.014951860176456777,0.0025189933443419132,0.33,0.16999999999999998
2005-02-01,571906.0,-0.016373536787140597,-0.009944386359843738,-0.014951860176456777,0.5,0.0
2005-03-01,566183.0,-0.010006889244036588,-0.016373536787140597,-0.009944386359843738,0.5,0.0
2005-04-01,570002.0,0.006745168964804593,-0.010006889244036588,-0.016373536787140597,0.0,0.5
2005-05-01,572292.0,0.004017529763053362,0.006745168964804593,-0.010006889244036588,0.0,0.5
2005-06-01,553996.0,-0.03196969379267922,0.004017529763053362,0.006745168964804593,0.165,0.33499999999999996
2005-07-01,539425.0,-0.026301633946815506,-0.03196969379267922,0.004017529763053362,0.33,0.16999999999999998
